0.Variable; GVL.rActualBeamPos;;;;1.Variable;; GVL.rBallFeedback;;
0.Address.AddrFlags; 0x00000000;;;;1.Address.AddrFlags;; 0x00000000;;
0.Class;15;;;;1.Class;;14;;
0.Size;8;;;;1.Size;;4;;
0.GraphColor;4278190335;;;;1.GraphColor;;4278222848;;
0.GraphType;8;;;;1.GraphType;;8;;
0.MinWarningColor;4278190080;;;;1.MinWarningColor;;4278190080;;
0.MaxWarningColor;4294901760;;;;1.MaxWarningColor;;4294901760;;
0.CriticalLowerLimit;0;;;;1.CriticalLowerLimit;;0;;
0.CriticalUpperLimit;0;;;;1.CriticalUpperLimit;;0;;
0.ActivateMinWarning;0;;;;1.ActivateMinWarning;;0;;
0.ActivateMaxWarning;0;;;;1.ActivateMaxWarning;;0;;
0.YAxis;0;;;;1.YAxis;;0;;
0.Data;; ;;;1.Data;;; ;
;;195; 5.0001000000000007;;;;;195; -48.865440368652344
;;197; 5.0008;;;;;197; -48.632728576660156
;;199; 5.0004;;;;;199; -48.089740753173828
;;201; 5.0001000000000007;;;;;201; -47.934600830078125
;;203; 4.9998000000000005;;;;;203; -47.391609191894531
;;205; 4.9994000000000005;;;;;205; -47.857028961181641
;;207; 4.9994000000000005;;;;;207; -48.089740753173828
;;209; 4.9998000000000005;;;;;209; -48.167312622070313
;;211; 5.0001000000000007;;;;;211; -48.012168884277344
;;213; 5.0001000000000007;;;;;213; -47.857028961181641
;;215; 5.0001000000000007;;;;;215; -47.158901214599609
;;217; 5.0001000000000007;;;;;217; -46.072921752929688
;;219; 5.0001000000000007;;;;;219; -45.917778015136719
;;221; 4.9998000000000005;;;;;221; -45.8402099609375
;;223; 4.9998000000000005;;;;;223; -46.460769653320313
;;225; 4.9998000000000005;;;;;225; -47.003761291503906
;;227; 4.9994000000000005;;;;;227; -47.314041137695313
;;229; 4.9994000000000005;;;;;229; -47.081329345703125
;;231; 4.9994000000000005;;;;;231; -46.771049499511719
;;233; 5.0001000000000007;;;;;233; -46.848617553710938
;;235; 5.0001000000000007;;;;;235; -47.314041137695313
;;237; 5.0008;;;;;237; -48.167312622070313
;;239; 5.0008;;;;;239; -48.477592468261719
;;241; 5.0008;;;;;241; -47.857028961181641
;;243; 5.0004;;;;;243; -47.624320983886719
;;245; 5.0001000000000007;;;;;245; -47.314041137695313
;;247; 4.9994000000000005;;;;;247; -47.624320983886719
;;249; 4.9994000000000005;;;;;249; -48.244880676269531
;;251; 4.9994000000000005;;;;;251; -48.089740753173828
;;253; 4.9994000000000005;;;;;253; -47.701889038085938
;;255; 5.0001000000000007;;;;;255; -47.158901214599609
;;257; 5.0001000000000007;;;;;257; -47.003761291503906
;;259; 5.0001000000000007;;;;;259; -47.081329345703125
;;261; 5.0004;;;;;261; -48.632728576660156
;;263; 5.0001000000000007;;;;;263; -49.563568115234375
;;265; 4.9998000000000005;;;;;265; -49.718711853027344
;;267; 4.9998000000000005;;;;;267; -49.253288269042969
;;269; 4.9994000000000005;;;;;269; -48.710300445556641
;;271; 4.9998000000000005;;;;;271; -47.46917724609375
;;273; 4.9998000000000005;;;;;273; -47.546749114990234
;;275; 4.9998000000000005;;;;;275; -48.555160522460938
;;277; 4.9998000000000005;;;;;277; -49.098152160644531
;;279; 5.0001000000000007;;;;;279; -49.563568115234375
;;281; 5.0004;;;;;281; -49.486000061035156
;;283; 5.0001000000000007;;;;;283; -49.098152160644531
;;285; 5.0001000000000007;;;;;285; -48.632728576660156
;;287; 4.9998000000000005;;;;;287; -47.857028961181641
;;289; 5.0001000000000007;;;;;289; -47.701889038085938
;;291; 4.9998000000000005;;;;;291; -47.701889038085938
;;293; 4.9998000000000005;;;;;293; -48.865440368652344
;;295; 4.9998000000000005;;;;;295; -48.943008422851563
;;297; 4.9998000000000005;;;;;297; -49.330860137939453
;;299; 5.0001000000000007;;;;;299; -49.020580291748047
;;301; 5.0001000000000007;;;;;301; -48.244880676269531
;;303; 5.0004;;;;;303; -47.391609191894531
;;305; 5.0001000000000007;;;;;305; -47.158901214599609
;;307; 5.0001000000000007;;;;;307; -47.158901214599609
;;309; 5.0001000000000007;;;;;309; -47.391609191894531
;;311; 4.9998000000000005;;;;;311; -47.236473083496094
;;313; 4.9994000000000005;;;;;313; -47.391609191894531
;;315; 4.9994000000000005;;;;;315; -47.158901214599609
;;317; 4.9998000000000005;;;;;317; -48.244880676269531
;;319; 5.0001000000000007;;;;;319; -48.089740753173828
;;321; 5.0001000000000007;;;;;321; -47.857028961181641
;;323; 4.9998000000000005;;;;;323; -47.081329345703125
;;325; 4.9998000000000005;;;;;325; -47.779460906982422
;;327; 4.9994000000000005;;;;;327; -48.089740753173828
;;329; 4.9994000000000005;;;;;329; -47.701889038085938
;;331; 4.9998000000000005;;;;;331; -47.158901214599609
;;333; 4.9998000000000005;;;;;333; -47.236473083496094
;;335; 4.9994000000000005;;;;;335; -47.081329345703125
;;337; 4.9998000000000005;;;;;337; -47.624320983886719
;;339; 5.0001000000000007;;;;;339; -48.400016784667969
;;341; 4.9998000000000005;;;;;341; -49.408432006835938
;;343; 4.9998000000000005;;;;;343; -49.098152160644531
;;345; 4.9998000000000005;;;;;345; -48.710300445556641
;;347; 4.9998000000000005;;;;;347; -48.32244873046875
;;349; 5.0001000000000007;;;;;349; -47.624320983886719
;;351; 5.0001000000000007;;;;;351; -46.6934814453125
;;353; 4.9998000000000005;;;;;353; -46.305633544921875
;;355; 5.0001000000000007;;;;;355; -46.538337707519531
;;357; 4.9998000000000005;;;;;357; -46.771049499511719
;;359; 4.9998000000000005;;;;;359; -47.314041137695313
;;361; 4.9998000000000005;;;;;361; -47.46917724609375
;;363; 4.9998000000000005;;;;;363; -47.391609191894531
;;365; 4.9998000000000005;;;;;365; -47.003761291503906
;;367; 5.0001000000000007;;;;;367; -47.546749114990234
;;369; 5.0001000000000007;;;;;369; -47.779460906982422
;;371; 5.0001000000000007;;;;;371; -47.546749114990234
;;373; 5.0001000000000007;;;;;373; -47.236473083496094
;;375; 4.9998000000000005;;;;;375; -47.46917724609375
;;377; 5.0001000000000007;;;;;377; -47.236473083496094
;;379; 5.0004;;;;;379; -47.003761291503906
;;381; 5.0001000000000007;;;;;381; -46.771049499511719
